,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri.1,track_href,analysis_url,duration_ms.1,time_signature,cluster
34,Buy Dirt,Buy Dirt,Jordan Black,188594,spotify:track:4OQPYgXWTxg5LeJY4OzwSt,https://api.spotify.com/v1/tracks/4OQPYgXWTxg5LeJY4OzwSt,0.543,0.335,4,-13.533,1,0.0352,0.815,0.0,0.139,0.419,78.255,audio_features,4OQPYgXWTxg5LeJY4OzwSt,spotify:track:4OQPYgXWTxg5LeJY4OzwSt,https://api.spotify.com/v1/tracks/4OQPYgXWTxg5LeJY4OzwSt,https://api.spotify.com/v1/audio-analysis/4OQPYgXWTxg5LeJY4OzwSt,188595,4,0
35,Fancy Like,Fancy Like,Kayne Waste,118457,spotify:track:764oqVp5cqzj2YazBkTj86,https://api.spotify.com/v1/tracks/764oqVp5cqzj2YazBkTj86,0.722,0.467,2,-15.679,1,0.191,0.00226,0.909,0.0919,0.785,154.195,audio_features,764oqVp5cqzj2YazBkTj86,spotify:track:764oqVp5cqzj2YazBkTj86,https://api.spotify.com/v1/tracks/764oqVp5cqzj2YazBkTj86,https://api.spotify.com/v1/audio-analysis/764oqVp5cqzj2YazBkTj86,118458,4,0
36,Thinking With My Dick - Instrumental,Five Lit Bangerz!!!,KPH,165854,spotify:track:4vrn1TqRn2vPR4uLt7ivSu,https://api.spotify.com/v1/tracks/4vrn1TqRn2vPR4uLt7ivSu,0.774,0.392,5,-15.321,0,0.0929,0.275,0.907,0.153,0.225,80.994,audio_features,4vrn1TqRn2vPR4uLt7ivSu,spotify:track:4vrn1TqRn2vPR4uLt7ivSu,https://api.spotify.com/v1/tracks/4vrn1TqRn2vPR4uLt7ivSu,https://api.spotify.com/v1/audio-analysis/4vrn1TqRn2vPR4uLt7ivSu,165854,4,1
37,Fingers Crossed,...Was Right All Along (10th Anniversary),John-Allison Weiss,207280,spotify:track:3jceAWHyFrvwaiivK3nnkS,https://api.spotify.com/v1/tracks/3jceAWHyFrvwaiivK3nnkS,0.595,0.715,10,-5.23,1,0.0666,0.0346,0.0,0.111,0.495,151.623,audio_features,3jceAWHyFrvwaiivK3nnkS,spotify:track:3jceAWHyFrvwaiivK3nnkS,https://api.spotify.com/v1/tracks/3jceAWHyFrvwaiivK3nnkS,https://api.spotify.com/v1/audio-analysis/3jceAWHyFrvwaiivK3nnkS,207280,4,0
38,Bambi,Champ,Tokyo Police Club,166120,spotify:track:4oxA1ZfTm2QtRj09cBX5SA,https://api.spotify.com/v1/tracks/4oxA1ZfTm2QtRj09cBX5SA,0.619,0.85,1,-7.094,0,0.0363,0.00261,0.0316,0.126,0.789,140.005,audio_features,4oxA1ZfTm2QtRj09cBX5SA,spotify:track:4oxA1ZfTm2QtRj09cBX5SA,https://api.spotify.com/v1/tracks/4oxA1ZfTm2QtRj09cBX5SA,https://api.spotify.com/v1/audio-analysis/4oxA1ZfTm2QtRj09cBX5SA,166120,4,1
39,Handsomer - Chorus,Handsomer (Originally Performed by Russ) [Karaoke],Troy Tha Studio Rat,141899,spotify:track:3BMrO0P2BQ8h9eQ3AY0xon,https://api.spotify.com/v1/tracks/3BMrO0P2BQ8h9eQ3AY0xon,0.725,0.412,8,-14.94,1,0.153,0.166,0.926,0.0839,0.345,164.036,audio_features,3BMrO0P2BQ8h9eQ3AY0xon,spotify:track:3BMrO0P2BQ8h9eQ3AY0xon,https://api.spotify.com/v1/tracks/3BMrO0P2BQ8h9eQ3AY0xon,https://api.spotify.com/v1/audio-analysis/3BMrO0P2BQ8h9eQ3AY0xon,141900,4,0
40,Love Nwantiti (Ah Ah Ah) [Instrumental Cover],"Ultimate Hits Collection, Vol. 15",Miraculous Studio Orchestra,31000,spotify:track:63d0SKzIDXQ4hKHW5vF7F0,https://api.spotify.com/v1/tracks/63d0SKzIDXQ4hKHW5vF7F0,0.161,0.288,9,-15.288,0,0.0466,0.844,0.857,0.167,0.0384,92.066,audio_features,63d0SKzIDXQ4hKHW5vF7F0,spotify:track:63d0SKzIDXQ4hKHW5vF7F0,https://api.spotify.com/v1/tracks/63d0SKzIDXQ4hKHW5vF7F0,https://api.spotify.com/v1/audio-analysis/63d0SKzIDXQ4hKHW5vF7F0,31000,4,1
41,"Medley: Life Begins At Forty / Ei Po-A Slice Of Heaven / L'Amour Est L'Enfant De La Libertie / God Defend New Zealand / Pinocchio / The Bridge (Il Silenzio) / Rugby, Racing & Beers / I Got You",Hooked On Kiwi - 36 Non-Stop New Zealand Greats,Joe 'Fingers' Webster & His River City Mainlanders,663040,spotify:track:6PFj1THPoQz7A2rh4b3mR8,https://api.spotify.com/v1/tracks/6PFj1THPoQz7A2rh4b3mR8,0.722,0.687,0,-11.233,1,0.0417,0.41,0.0527,0.302,0.841,136.299,audio_features,6PFj1THPoQz7A2rh4b3mR8,spotify:track:6PFj1THPoQz7A2rh4b3mR8,https://api.spotify.com/v1/tracks/6PFj1THPoQz7A2rh4b3mR8,https://api.spotify.com/v1/audio-analysis/6PFj1THPoQz7A2rh4b3mR8,663040,4,0
42,A Wonderful Guy - Broadway,Broadway Classic,Lisa Vroman,222680,spotify:track:0rZxmxtt3rkkD67pDxitE2,https://api.spotify.com/v1/tracks/0rZxmxtt3rkkD67pDxitE2,0.491,0.232,0,-10.805,1,0.0356,0.872,9.76e-06,0.15,0.359,95.544,audio_features,0rZxmxtt3rkkD67pDxitE2,spotify:track:0rZxmxtt3rkkD67pDxitE2,https://api.spotify.com/v1/tracks/0rZxmxtt3rkkD67pDxitE2,https://api.spotify.com/v1/audio-analysis/0rZxmxtt3rkkD67pDxitE2,222680,4,0
43,Sand In My Boots (Made Popular By Morgan Wallen) [Karaoke Version],Party Tyme 109 (Karaoke Versions),Party Tyme Karaoke,198837,spotify:track:5vyCdjaZ9WmjBT4PF5OV4K,https://api.spotify.com/v1/tracks/5vyCdjaZ9WmjBT4PF5OV4K,0.591,0.37,3,-9.513,1,0.0391,0.568,0.00112,0.194,0.179,140.179,audio_features,5vyCdjaZ9WmjBT4PF5OV4K,spotify:track:5vyCdjaZ9WmjBT4PF5OV4K,https://api.spotify.com/v1/tracks/5vyCdjaZ9WmjBT4PF5OV4K,https://api.spotify.com/v1/audio-analysis/5vyCdjaZ9WmjBT4PF5OV4K,198838,4,0
